出库单号,销售订单号,订单日期,出库日期,订单客户,库存仓库,物料编码,物料名称,报价主数量,主单位,标识,车牌号,区域,装车时间,到货时间,装车过程时间,运途时间,热鲜产品预冷时间,生产加工时间(小时),头均,单位产量（公斤/小时）,最早要货时间,最晚要货时间
SXCK202505190430,SO302025051800376417,2025-05-18,2025-05-19,广西上好鲜肉食品科技开发有限责任公司,邕之泰鲜品库,10502003,肥膘,1000,公斤,SXCK202505190430,豫A910ZQ,0,19:30,09:30:00,2.23066,0.0,,1.6666666666666667,4.0,600.0,13:36:09.624000,
SXCK202505190326,SO302025051800376467,2025-05-18,2025-05-19,广州森米生鲜食品有限公司,邕之泰鲜品库,10612005,带头去尾通排(冷鲜),50,公斤,SXCK202505190326,桂AQ0557,广州市增城区,15:30,08:00:00,7.01284,0.0,,0.047619047619047616,7.0,1050.0,06:26:22.347000,
SXCK202505190326,SO302025051800376467,2025-05-18,2025-05-19,广州森米生鲜食品有限公司,邕之泰鲜品库,10619007,带肉尾叉骨（冷鲜）,60,公斤,SXCK202505190326,桂AQ0557,广州市增城区,15:30,08:00:00,7.01284,0.0,,0.20512820512820512,1.95,292.5,06:16:55.314000,
SXCK202505190326,SO302025051800376467,2025-05-18,2025-05-19,广州森米生鲜食品有限公司,邕之泰鲜品库,10614015,带肉扇骨（冷鲜）,10,公斤,SXCK202505190326,桂AQ0557,广州市增城区,15:30,08:00:00,7.01284,0.0,,0.08333333333333333,0.8,120.0,06:24:13.776000,
SXCK202505190326,SO302025051800376467,2025-05-18,2025-05-19,广州森米生鲜食品有限公司,邕之泰鲜品库,10704025,去皮五花肉,250,公斤,SXCK202505190326,桂AQ0557,广州市增城区,15:30,08:00:00,7.01284,0.0,,0.23809523809523808,7.0,1050.0,06:14:56.633000,
SXCK202505190307,SO302025051800376474,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10603006,带肉后腿骨（冷鲜）,20,公斤,SXCK202505190307,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.06666666666666667,2.0,300.0,05:52:58.128000,
SXCK202505190307,SO302025051800376474,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10607020,脊骨段（冷鲜）,50,公斤,SXCK202505190307,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.4166666666666667,0.8,120.0,05:31:58.128000,
SXCK202505190307,SO302025051800376474,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10610008,无颈前排（冷鲜）,50,公斤,SXCK202505190307,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.16666666666666666,2.0,300.0,05:46:58.128000,
SXCK202505190307,SO302025051800376474,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10405006,后腿肌肉,20,公斤,SXCK202505190307,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.011111111111111112,12.0,1800.0,05:56:18.128000,
SXCK202505190307,SO302025051800376474,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10310002,猪肚,10,公斤,SXCK202505190307,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.13333333333333333,0.5,75.0,05:48:58.128000,
SXCK202505190307,SO302025051800376474,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10202006,带皮中段,60,公斤,SXCK202505190307,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.02,20.0,3000.0,05:55:46.128000,
SXCK202505190313,SO302025051800376476,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰白条库,10103005,带蹄白条A（精修）,85,公斤,SXCK202505190313,桂C29189,0,14:30,02:00:00,6.55052,0.0,,,,,,
SXCK202505190310,SO302025051800376476,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10604003,带肉前腿骨（冷鲜）,10,公斤,SXCK202505190310,桂R86529,0,14:30,02:00:00,6.55052,0.0,,0.06060606060606061,1.1,165.0,05:53:19.946000,
SXCK202505190310,SO302025051800376476,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10610009,无颈通排（冷鲜）,10,公斤,SXCK202505190310,桂R86529,0,14:30,02:00:00,6.55052,0.0,,0.011111111111111112,6.0,900.0,05:56:18.128000,
SXCK202505190310,SO302025051800376476,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10202006,带皮中段,80,公斤,SXCK202505190310,桂R86529,0,14:30,02:00:00,6.55052,0.0,,0.02666666666666667,20.0,3000.0,05:55:22.128000,
SXCK202505190306,SO302025051800376478,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10603006,带肉后腿骨（冷鲜）,20,公斤,SXCK202505190306,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.06666666666666667,2.0,300.0,05:52:58.128000,
SXCK202505190306,SO302025051800376478,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10610009,无颈通排（冷鲜）,30,公斤,SXCK202505190306,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.03333333333333333,6.0,900.0,05:54:58.128000,
SXCK202505190306,SO302025051800376478,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10607020,脊骨段（冷鲜）,10,公斤,SXCK202505190306,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.08333333333333333,0.8,120.0,05:51:58.128000,
SXCK202505190306,SO302025051800376478,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10202006,带皮中段,100,公斤,SXCK202505190306,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.03333333333333333,20.0,3000.0,05:54:58.128000,
SXCK202505190309,SO302025051800376479,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10603006,带肉后腿骨（冷鲜）,10,公斤,SXCK202505190309,桂R86529,0,14:30,02:00:00,6.55052,0.0,,0.03333333333333333,2.0,300.0,05:54:58.128000,
SXCK202505190309,SO302025051800376479,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10607020,脊骨段（冷鲜）,60,公斤,SXCK202505190309,桂R86529,0,14:30,02:00:00,6.55052,0.0,,0.5,0.8,120.0,05:26:58.128000,
SXCK202505190309,SO302025051800376479,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10201005,带蹄前段,50,公斤,SXCK202505190309,桂R86529,0,14:30,02:00:00,6.55052,0.0,,0.013888888888888888,24.0,3600.0,05:56:08.128000,
SXCK202505190309,SO302025051800376479,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10202006,带皮中段,110,公斤,SXCK202505190309,桂R86529,0,14:30,02:00:00,6.55052,0.0,,0.03666666666666667,20.0,3000.0,05:54:46.128000,
SXCK202505190309,SO302025051800376479,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10203003,带蹄后段,50,公斤,SXCK202505190309,桂R86529,0,14:30,02:00:00,6.55052,0.0,,0.013888888888888888,24.0,3600.0,05:56:08.128000,
SXCK202505190305,SO302025051800376483,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10603006,带肉后腿骨（冷鲜）,20,公斤,SXCK202505190305,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.06666666666666667,2.0,300.0,05:52:58.128000,
SXCK202505190305,SO302025051800376483,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10607020,脊骨段（冷鲜）,10,公斤,SXCK202505190305,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.08333333333333333,0.8,120.0,05:51:58.128000,
SXCK202505190305,SO302025051800376483,2025-05-18,2025-05-19,东莞市辉达食品有限公司,邕之泰鲜品库,10201005,带蹄前段,30,公斤,SXCK202505190305,冀A1X72T,0,14:30,02:00:00,6.55052,0.0,,0.008333333333333333,24.0,3600.0,05:56:28.128000,
